         1250288 function calls (1197757 primitive calls) in 2.617 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      355    0.001    0.000    0.005    0.000 inline_closurecall.py:1616(list_var_used)
        5    0.000    0.000    0.005    0.001 imputils.py:333(wrapper)
      169    0.001    0.000    0.005    0.000 typeof.py:27(typeof)
      318    0.000    0.000    0.005    0.000 lowering.py:1484(_alloca_var)
      142    0.000    0.000    0.005    0.000 builder.py:297(if_then)
      105    0.005    0.000    0.005    0.000 {method '__exit__' of '_io._IOBase' objects}
        6    0.000    0.000    0.005    0.001 callconv.py:520(unpack_exception)
      108    0.000    0.000    0.005    0.000 base.py:500(get_constant_generic)
      130    0.000    0.000    0.005    0.000 context.py:262(resolve_getattr)
      650    0.001    0.000    0.005    0.000 instructions.py:693(__init__)
      171    0.004    0.000    0.005    0.000 analysis.py:81(def_reach)
     1471    0.002    0.000    0.005    0.000 weakref.py:414(__getitem__)
     2697    0.002    0.000    0.005    0.000 contextlib.py:299(helper)
       10    0.000    0.000    0.005    0.000 arrayobj.py:78(_make_refs)
      108    0.000    0.000    0.005    0.000 extending.py:398(intrinsic)
       14    0.000    0.000    0.005    0.000 callconv.py:454(return_user_exc)
      177    0.002    0.000    0.005    0.000 inspect.py:2331(_signature_from_function)
      108    0.000    0.000    0.005    0.000 extending.py:435(_intrinsic)
        3    0.000    0.000    0.005    0.002 arrayobj.py:498(getitem_array_tuple)
        5    0.000    0.000    0.005    0.001 arrayobj.py:376(basic_indexing)
      126    0.000    0.000    0.005    0.000 cgutils.py:417(get_or_insert_function)
      128    0.000    0.000    0.005    0.000 values.py:973(descr_prototype)
        4    0.000    0.000    0.005    0.001 imputils.py:192(imp)
7503/7060    0.004    0.000    0.005    0.000 abstract.py:124(__eq__)
      169    0.000    0.000    0.005    0.000 functools.py:904(wrapper)
        8    0.000    0.000    0.005    0.001 codegen.py:1021(scan_unresolved_symbols)
        2    0.000    0.000    0.005    0.002 lowering.py:595(lower_setitem)
       22    0.000    0.000    0.005    0.000 lowering.py:1603(alloca)
      464    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       13    0.000    0.000    0.004    0.000 base.py:412(declare_function)
     7778    0.003    0.000    0.004    0.000 event.py:66(_guard_kind)
      513    0.000    0.000    0.004    0.000 ssa.py:206(_run_ssa_block_pass)
      257    0.001    0.000    0.004    0.000 context.py:286(find_matching_getattr_template)
       22    0.000    0.000    0.004    0.000 lowering.py:1608(alloca_lltype)
      365    0.001    0.000    0.004    0.000 builder.py:769(store)
       65    0.000    0.000    0.004    0.000 transforms.py:314(yield_loops_with_multiple_backedges)
40061/39249    0.004    0.000    0.004    0.000 {built-in method builtins.len}
       13    0.000    0.000    0.004    0.000 base.py:1100(get_abi_sizeof)
       42    0.000    0.000    0.004    0.000 decorators.py:202(wrapper)
      331    0.001    0.000    0.004    0.000 interpreter.py:1798(_dispatch)
     7771    0.003    0.000    0.004    0.000 event.py:265(on_start)
        2    0.000    0.000    0.004    0.002 rangeobj.py:87(getiter_range32_impl)
       13    0.000    0.000    0.004    0.000 types.py:51(get_abi_size)
      476    0.000    0.000    0.004    0.000 compiler_lock.py:22(__exit__)
      251    0.000    0.000    0.004    0.000 context.py:267(core)
      127    0.000    0.000    0.004    0.000 cgutils.py:929(gep_inbounds)
1110/1106    0.001    0.000    0.004    0.000 context.py:540(can_convert)
       38    0.000    0.000    0.004    0.000 decorators.py:239(njit)
       42    0.000    0.000    0.004    0.000 decorators.py:26(jit)
       77    0.000    0.000    0.004    0.000 controlflow.py:219(_loops)
       81    0.000    0.000    0.004    0.000 typeinfer.py:1476(resolve_value_type)
       42    0.000    0.000    0.004    0.000 dispatcher.py:757(__init__)
       70    0.000    0.000    0.004    0.000 controlflow.py:272(loops)
       30    0.000    0.000    0.004    0.000 codegen.py:1259(_pass_manager_builder)
